go_id	gene_id
GO:0000160	Os12g0139400
GO:0000162	Os01g0764400
GO:0000162	Os03g0126000
GO:0000162	Os03g0264400
GO:0000162	Os03g0797000
GO:0000162	Os03g0797400
GO:0000162	Os03g0826500
GO:0000162	Os04g0463500
GO:0000162	Os06g0632200
GO:0000162	Os07g0182100
GO:0000165	Os01g0629900
GO:0000165	Os01g0665200
GO:0000165	Os02g0148100
GO:0000165	Os02g0698000
GO:0000165	Os02g0787300
GO:0000165	Os03g0160100
GO:0000165	Os03g0285800
GO:0000165	Os04g0660500
GO:0000165	Os05g0305900
GO:0000165	Os05g0566400
GO:0000165	Os05g0576800
GO:0000165	Os06g0154500
GO:0000165	Os06g0367900
GO:0000165	Os06g0708000
GO:0000165	Os07g0556200
GO:0000165	Os10g0432300
GO:0000165	Os10g0533600
GO:0000165	Os11g0271100
GO:0000169	Os03g0285800
GO:0000184	Os01g0172200
GO:0000184	Os01g0197200
GO:0000184	Os01g0911100
GO:0000184	Os07g0495900
GO:0000186	Os03g0160100
GO:0000186	Os05g0545300
GO:0000187	Os06g0191500
GO:0000209	Os01g0350900
GO:0000209	Os01g0667700
GO:0000209	Os01g0926200
GO:0000209	Os03g0259300
GO:0000209	Os03g0351800
GO:0000209	Os03g0812200
GO:0000209	Os04g0511600
GO:0000209	Os05g0110000
GO:0000209	Os05g0488800
GO:0000209	Os09g0419500
GO:0000209	Os11g0572500
GO:0000209	Os12g0428600
GO:0000212	Os08g0555800
GO:0000226	Os01g0616900
GO:0000226	Os02g0523300
GO:0000226	Os02g0622100
GO:0000226	Os02g0757100
GO:0000226	Os03g0179000
GO:0000226	Os03g0372500
GO:0000226	Os04g0501700
GO:0000226	Os04g0566800
GO:0000226	Os04g0566900
GO:0000226	Os05g0149800
GO:0000226	Os05g0154500
GO:0000226	Os05g0389000
GO:0000226	Os06g0127800
GO:0000226	Os07g0555200
GO:0000226	Os07g0596300
GO:0000226	Os08g0531100
GO:0000226	Os09g0446200
GO:0000226	Os12g0606100
GO:0000237	Os01g0164800
GO:0000237	Os02g0182100
GO:0000237	Os09g0506800
GO:0000237	Os10g0405500
GO:0000238	Os01g0164800
GO:0000238	Os09g0506800
GO:0000238	Os10g0405500
GO:0000239	Os12g0298950
GO:0000241	Os05g0251400
GO:0000244	Os01g0263600
GO:0000245	Os02g0146400
GO:0000245	Os05g0103200
