go_id	gene_id
GO:0000166	Os03g0299200
GO:0000166	Os03g0312600
GO:0000166	Os03g0314100
GO:0000166	Os03g0316900
GO:0000166	Os03g0318500
GO:0000166	Os03g0323200
GO:0000166	Os03g0326100
GO:0000166	Os03g0326200
GO:0000166	Os03g0326600
GO:0000166	Os03g0328900
GO:0000166	Os03g0329200
GO:0000166	Os03g0332700
GO:0000166	Os03g0335600
GO:0000166	Os03g0337700
GO:0000166	Os03g0344100
GO:0000166	Os03g0344700
GO:0000166	Os03g0351200
GO:0000166	Os03g0363800
GO:0000166	Os03g0374575
GO:0000166	Os03g0376600
GO:0000166	Os03g0376900
GO:0000166	Os03g0388000
GO:0000166	Os03g0404800
GO:0000166	Os03g0405000
GO:0000166	Os03g0410700
GO:0000166	Os03g0412800
GO:0000166	Os03g0418800
GO:0000166	Os03g0422600
GO:0000166	Os03g0425600
GO:0000166	Os03g0426900
GO:0000166	Os03g0436400
GO:0000166	Os03g0441500
GO:0000166	Os03g0566500
GO:0000166	Os03g0569900
GO:0000166	Os03g0584400
GO:0000166	Os03g0604200
GO:0000166	Os03g0616400
GO:0000166	Os03g0617900
GO:0000166	Os03g0639700
GO:0000166	Os03g0670100
GO:0000166	Os03g0670700
GO:0000166	Os03g0681900
GO:0000166	Os03g0689300
GO:0000166	Os03g0694900
GO:0000166	Os03g0714400
GO:0000166	Os03g0730800
GO:0000166	Os03g0748100
GO:0000166	Os03g0748900
GO:0000166	Os03g0757900
GO:0000166	Os03g0760700
GO:0000166	Os03g0770100
GO:0000166	Os03g0773800
GO:0000166	Os03g0792600
GO:0000166	Os03g0794500
GO:0000166	Os03g0801800
GO:0000166	Os03g0802500
GO:0000166	Os03g0802600
GO:0000166	Os03g0809900
GO:0000166	Os03g0811700
GO:0000166	Os03g0818200
GO:0000166	Os03g0820100
GO:0000166	Os03g0822200
GO:0000166	Os03g0824300
GO:0000166	Os03g0826400
GO:0000166	Os03g0833100
GO:0000166	Os03g0836200
GO:0000166	Os03g0842900
GO:0000166	Os03g0850000
GO:0000166	Os03g0854300
GO:0000166	Os03g0859500
GO:0000166	Os04g0105000
GO:0000166	Os04g0106400
GO:0000166	Os04g0107200
GO:0000166	Os04g0107300
GO:0000166	Os04g0107500
GO:0000166	Os04g0116600
GO:0000166	Os04g0118900
GO:0000166	Os04g0179100
GO:0000166	Os04g0179200
GO:0000166	Os04g0194500
GO:0000166	Os04g0209300
GO:0000166	Os04g0229100
GO:0000166	Os04g0269100
GO:0000166	Os04g0280200
GO:0000166	Os04g0284600
GO:0000166	Os04g0291100
GO:0000166	Os04g0293300
GO:0000166	Os04g0306800
GO:0000166	Os04g0353600
GO:0000166	Os04g0354400
GO:0000166	Os04g0354600
GO:0000166	Os04g0355500
GO:0000166	Os04g0359100
GO:0000166	Os04g0359700
GO:0000166	Os04g0372800
GO:0000166	Os04g0390700
GO:0000166	Os04g0390800
GO:0000166	Os04g0391000
GO:0000166	Os04g0394300
GO:0000166	Os04g0397100
GO:0000166	Os04g0398300
GO:0000166	Os04g0403500
GO:0000166	Os04g0405300
GO:0000166	Os04g0414300
GO:0000166	Os04g0414400
GO:0000166	Os04g0433800
GO:0000166	Os04g0440100
GO:0000166	Os04g0449900
GO:0000166	Os04g0457200
GO:0000166	Os04g0459500
GO:0000166	Os04g0467300
GO:0000166	Os04g0479000
GO:0000166	Os04g0481700
GO:0000166	Os04g0485300
GO:0000166	Os04g0486600
GO:0000166	Os04g0496000
