go_id	gene_id
GO:0000228	Os02g0723700
GO:0000228	Os04g0488100
GO:0000228	Os04g0507000
GO:0000228	Os05g0580500
GO:0000228	Os08g0266700
GO:0000228	Os09g0506800
GO:0000228	Os10g0405500
GO:0000275	Os01g0685800
GO:0000275	Os05g0553000
GO:0000275	Os07g0495200
GO:0000275	Os08g0250200
GO:0000276	Os01g0600000
GO:0000276	Os04g0117100
GO:0000276	Os05g0533800
GO:0000276	Os08g0478200
GO:0000323	Os01g0559600
GO:0000323	Os05g0593900
GO:0000323	Os06g0105100
GO:0000325	Os01g0212400
GO:0000325	Os01g0356400
GO:0000325	Os01g0505600
GO:0000325	Os02g0288400
GO:0000325	Os02g0678200
GO:0000325	Os02g0715000
GO:0000325	Os03g0142800
GO:0000325	Os03g0755100
GO:0000325	Os04g0209200
GO:0000325	Os04g0573000
GO:0000325	Os04g0643100
GO:0000325	Os05g0593100
GO:0000325	Os06g0129400
GO:0000325	Os06g0662000
GO:0000326	Os03g0293000
GO:0000327	Os02g0554900
GO:0000327	Os04g0436300
GO:0000327	Os04g0537900
GO:0000347	Os01g0544450
GO:0000347	Os02g0797400
GO:0000347	Os11g0484300
GO:0000407	Os06g0267600
GO:0000421	Os02g0529150
GO:0000421	Os02g0791800
GO:0000421	Os04g0624000
GO:0000421	Os07g0512200
GO:0000421	Os08g0191600
GO:0000421	Os11g0100100
GO:0000427	Os03g0602600
GO:0000439	Os02g0125800
GO:0000439	Os04g0508900
GO:0000439	Os04g0680000
GO:0000439	Os07g0573600
GO:0000439	Os08g0338200
GO:0000502	Os01g0267200
GO:0000502	Os01g0511300
GO:0000502	Os02g0146700
GO:0000502	Os02g0803700
GO:0000502	Os03g0214600
GO:0000502	Os04g0444600
GO:0000502	Os04g0485000
GO:0000502	Os04g0661900
GO:0000502	Os05g0104800
GO:0000502	Os05g0594800
GO:0000502	Os06g0173100
GO:0000502	Os06g0607800
GO:0000502	Os06g0699900
GO:0000502	Os07g0691800
GO:0000502	Os08g0224700
GO:0000502	Os08g0550100
GO:0000502	Os09g0326800
GO:0000502	Os09g0541900
GO:0000775	Os02g0620100
GO:0000775	Os02g0799100
GO:0000775	Os03g0577100
GO:0000775	Os05g0489800
GO:0000775	Os08g0163100
